,title,year,rating,metascore,director,stars,runtime(min),genre
0,CODA,2021,8.0,72.0,Sian Heder,"['Emilia Jones', 'Marlee Matlin', 'Troy Kotsur', 'Daniel Durant']",111,"Comedy, Drama, Music"
1,Nomadland,2020,7.3,92.0,Chloé Zhao,"['Frances McDormand', 'David Strathairn', 'Linda May', 'Gay DeForest']",107,Drama
2,Parasite,2019,8.5,96.0,Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']",132,"Drama, Thriller"
3,Green Book,2018,8.2,69.0,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",130,"Biography, Comedy, Drama"
4,The Shape of Water,2017,7.3,87.0,Guillermo del Toro,"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']",123,"Drama, Fantasy, Romance"
5,Moonlight,2016,7.4,99.0,Barry Jenkins,"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']",111,Drama
6,Spotlight,2015,8.1,93.0,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",129,"Biography, Crime, Drama"
7,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,Alejandro G. Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']",119,"Comedy, Drama"
8,12 Years a Slave,2013,8.1,96.0,Solomon Northup,"['Steve McQueen', 'Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']",134,"Biography, Drama, History"
9,Argo,2012,7.7,86.0,Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']",120,"Biography, Drama, Thriller"
10,The Artist,2011,7.9,89.0,Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']",100,"Comedy, Drama, Romance"
11,The King's Speech,2010,8.0,88.0,King George VI,"['Tom Hooper', 'Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']",118,"Biography, Drama, History"
12,Slumdog Millionaire,2008,8.0,84.0,Danny Boyle,"['Loveleen Tandan', 'Dev Patel', 'Freida Pinto', 'Saurabh Shukla', 'Anil Kapoor']",120,"Crime, Drama, Romance"
13,The Hurt Locker,2008,7.5,95.0,Kathryn Bigelow,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce']",131,"Drama, Thriller, War"
14,No Country for Old Men,2007,8.2,92.0,Ethan Coen,"['Joel Coen', 'Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']",122,"Crime, Drama, Thriller"
15,The Departed,2006,8.5,85.0,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",151,"Crime, Drama, Thriller"
16,Million Dollar Baby,2004,8.1,86.0,Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']",132,"Drama, Sport"
17,Crash,2004,7.8,66.0,Paul Haggis,"['Don Cheadle', 'Sandra Bullock', 'Thandiwe Newton', 'Karina Arroyave']",112,"Crime, Drama, Thriller"
18,The Lord of the Rings: The Return of the King,2003,9.0,94.0,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",201,"Action, Adventure, Drama"
19,Chicago,2002,7.2,81.0,Rob Marshall,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']",113,"Comedy, Crime, Musical"
20,A Beautiful Mind,2001,8.2,72.0,John Nash,"['Ron Howard', 'Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",135,"Biography, Drama"
21,Gladiator,2000,8.5,67.0,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",155,"Action, Adventure, Drama"
22,American Beauty,1999,8.4,84.0,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",122,Drama
23,Shakespeare in Love,1998,7.1,87.0,William Shakespeare,"['John Madden', 'Gwyneth Paltrow', 'Joseph Fiennes', 'Geoffrey Rush', 'Tom Wilkinson']",123,"Comedy, Drama, History"
24,Titanic,1997,7.9,75.0,James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']",194,"Drama, Romance"
25,The English Patient,1996,7.4,87.0,Anthony Minghella,"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas']",162,"Drama, Romance, War"
26,Braveheart,1995,8.4,68.0,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",178,"Biography, Drama, History"
